postcode,nonsub_old,nonsub_new,number_of_room
02160,17.1,16.0,2
02160,12.9,,3+
01520,16.6,17.2,1
01520,16.7,17.1,2
01520,15.8,17.3,3+
02740,20.6,20.3,1
02740,14.9,18.1,2
02740,11.7,12.6,3+
00720,20.7,21.3,1
00720,14.6,15.4,2
00720,13.8,14.0,3+
00390,22.8,23.7,1
00390,17.4,17.6,2
00390,16.6,18.0,3+
00920,17.9,21.4,1
00920,15.4,16.4,2
00920,13.0,14.2,3+
00770,17.6,19.6,1
00770,13.5,14.6,2
00770,12.5,13.7,3+
00160,24.6,26.7,1
00160,17.6,19.1,2
00160,15.1,14.9,3+
02770,20.3,22.7,1
02770,16.7,18.9,2
02770,13.9,16.6,3+
02180,26.4,24.3,1
02180,,15.0,2
02180,13.9,,3+
00560,21.4,21.3,1
00560,17.8,19.5,2
00560,16.4,16.3,3+
02250,21.6,22.5,1
02250,18.8,19.6,2
02250,16.8,16.3,3+
00300,20.8,24.3,1
00300,17.2,20.3,2
00300,14.3,,3+
00380,20.7,21.3,1
00380,20.8,13.1,2
00380,13.9,18.6,3+
00180,25.2,28.2,1
00180,19.1,20.2,2
00180,14.8,18.0,3+
00500,25.3,28.0,1
00500,18.7,19.1,2
00500,16.3,16.8,3+
00970,18.1,20.8,1
00970,14.9,15.5,2
00970,14.0,15.5,3+
01760,,,1
01760,14.4,,2
01760,,,3+
00330,24.8,26.9,1
00330,17.9,18.7,2
00330,17.8,14.7,3+
00280,22.3,22.1,1
00280,16.5,20.1,2
00280,14.4,16.6,3+
00210,22.6,25.0,1
00210,18.3,19.8,2
00210,18.5,17.7,3+
01370,19.8,22.2,1
01370,16.3,17.8,2
01370,14.7,16.1,3+
01630,,,1
01630,,,2
01630,,,3+
00570,24.6,26.1,1
00570,19.1,21.4,2
00570,16.8,14.2,3+
00540,24.8,21.3,1
00540,18.8,19.9,2
00540,16.0,16.0,3+
00660,18.7,21.6,1
00660,14.9,16.5,2
00660,11.4,14.1,3+
00780,18.4,22.0,1
00780,13.4,15.6,2
00780,9.5,10.6,3+
01350,20.1,21.8,1
01350,16.3,17.3,2
01350,14.9,14.8,3+
01480,17.0,19.5,1
01480,14.0,14.5,2
01480,11.7,13.2,3+
00650,17.1,13.2,1
00650,15.9,10.8,2
00650,14.5,,3+
00950,22.9,23.0,1
00950,17.2,18.0,2
00950,15.6,15.4,3+
00550,20.2,23.2,1
00550,16.4,18.8,2
00550,14.6,16.4,3+
02120,20.8,22.3,1
02120,16.0,16.6,2
02120,12.5,,3+
01490,20.6,,1
01490,,13.8,2
01490,13.6,13.4,3+
00810,21.0,24.2,1
00810,17.8,19.3,2
00810,16.4,18.0,3+
00410,20.2,20.7,1
00410,16.2,17.4,2
00410,13.5,14.3,3+
00850,20.9,,1
00850,15.9,,2
00850,15.7,16.1,3+
01390,19.3,22.4,1
01390,15.2,,2
01390,14.1,12.5,3+
00790,20.9,19.7,1
